C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_133.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_133.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_133.jpg, 0, 0, 0, 8.068494E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_234.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_234.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_234.jpg, 0, 0, 0, 8.035541E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_334.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_334.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_334.jpg, 0, 0, 0, 8.041177E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_436.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_436.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_436.jpg, 0, 0, 0, 8.044923E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_537.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_537.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_537.jpg, 0, 0, 0, 8.094185E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_639.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_639.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_639.jpg, 0, 0, 0, 8.089823E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_740.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_740.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_740.jpg, 0, 0, 0, 8.117854E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_841.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_841.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_841.jpg, 0, 0, 0, 8.064684E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_20_941.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_20_941.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_20_941.jpg, 0, 0, 0, 8.055766E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_042.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_042.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_042.jpg, 0, 0, 0, 8.096993E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_144.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_144.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_144.jpg, 0, 0, 0, 8.173734E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_244.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_244.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_244.jpg, 0, 0, 0, 8.032715E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_345.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_345.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_345.jpg, 0, 0, 0, 8.099271E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_446.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_446.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_446.jpg, 0, 0, 0, 8.193578E-05
C:\Users\Elod\Desktop\data\IMG\center_2022_05_21_20_03_21_547.jpg, C:\Users\Elod\Desktop\data\IMG\left_2022_05_21_20_03_21_547.jpg, C:\Users\Elod\Desktop\data\IMG\right_2022_05_21_20_03_21_547.jpg, 0, 0, 0, 8.304256E-05
